"Median Monthly Basic Pay and Monthly Allowances of Time-Rate Workers on Full-Time Basis by Region, 2014",,
,,
,,2014
Philippines,Median Basic Pay,11756
National Capital Region,Median Basic Pay,13748
Cordillera Administrative Region,Median Basic Pay,7991
Region I - Ilocos Region,Median Basic Pay,7722
Region II - Cagayan Valley,Median Basic Pay,9923
Region III - Central Luzon,Median Basic Pay,9671
Region IV-A - CALABARZON,Median Basic Pay,9277
Region IV-B - MIMAROPA,Median Basic Pay,8080
Region V- Bicol,Median Basic Pay,7369
Region VI - Western Visayas,Median Basic Pay,8762
Region VII - Central Visayas,Median Basic Pay,8913
Region VIII - Eastern Visayas,Median Basic Pay,0
Region IX - Zamboanga Peninsula,Median Basic Pay,7676
Region X - Northern Mindanao,Median Basic Pay,8431
Region XI - Davao,Median Basic Pay,8967
Region XII - SOCCSKSARGEN,Median Basic Pay,7727
Caraga,Median Basic Pay,7647
Autonomous Region in Muslim Mindanao,Median Basic Pay,0
,,
,,
Latest update:,,
20181030 09:00,,
,,
Source:,,
Philippine Statistics Authority,,
,,
Contact:,,
Labor Standards and Relations Statistics Division,,
Philippine Statistics Authority,,
"16/F Cyberpod 3 Eton Centris, EDSA Corner Quezon Avenue, Quezon City, Philippines 1100",,
Telefax No.: +632-3761921,,
E-mail: lsrsd.staff@psa.gov.ph,,
,,
,,
Units:,,
As Indicated,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Internal reference code:,,
1B3E1050,,
