"Annual Per Capita Consumption of Agricultural Commodities by Classification of Barangays, Geolocation, Reference Period and Commodity",,
,,
,,2015-2016
,,Rice
ALL BARANGAYS,PHILIPPINES,109.874
,..National Capital Region (NCR),98.464
,....First District,89.425
,....Second District,104.512
,....Third District,81.942
,....Fourth District,106.847
,....Fifth District,100.979
,..Cordillera Administrative Region (CAR),125.530
,....Abra,120.340
,....Apayao,154.877
,....Benguet,106.436
,....Ifugao,143.000
,....Kalinga,166.608
,....Mountain Province,129.838
,..Region I (Ilocos Region),124.831
,....Ilocos Norte,123.210
,....Ilocos Sur,123.611
,....La Union,125.151
,....Pangasinan,125.316
,..Region II (Cagayan Valley),123.490
,....Batanes,114.398
,....Cagayan,125.118
,....Isabela,120.405
,....Nueva Vizcaya,129.635
,....Quirino,120.270
,..Region III (Central Luzon),110.964
,....Aurora,124.194
,....Bataan,103.120
,....Bulacan,103.894
,....Nueva Ecija,117.423
,....Pampanga,108.302
,....Tarlac,112.071
,....Zambales,126.680
,..Southern Tagalog,.
,..Region IV-A (CALABARZON),95.208
,....Batangas,94.280
,....Cavite,88.040
,....Laguna,98.604
,....Quezon,105.207
,....Rizal,90.148
,..MIMAROPA Region,126.312
,....Marinduque,106.118
,....Mindoro Occidental,142.169
,....Mindoro Oriental,120.397
,....Palawan,130.067
,....Romblon,119.270
,..Region V (Bicol Region),115.851
,....Albay,108.553
,....Camarines Norte,109.766
,....Camarines Sur,121.372
,....Catanduanes,101.152
,....Masbate,121.361
,....Sorsogon,108.314
,..Region VI (Western Visayas),123.373
,....Aklan,124.628
,....Antique,141.240
,....Capiz,127.229
,....Guimaras,130.436
,....Iloilo,130.401
,....Negros Occidental,114.755
,..Region VII (Central Visayas),80.049
,....Bohol,115.421
,....Cebu,67.802
,....Negros Oriental,80.803
,....Siquijor,98.301
,..Region VIII (Eastern Visayas),118.048
,....Biliran,123.438
,....Eastern Samar,98.115
,....Leyte,114.006
,....Northern Samar,121.252
,....Southern Leyte,128.139
,....Samar (Western Samar),126.372
,..Western Mindanao,.
,..Region IX (Zamboanga Peninsula),36.389
,....Zamboanga Del Norte,35.015
,....Zamboanga Del Sur,23.557
,....Zamboanga City,.
,....Zamboanga Sibugay,88.593
,..Region X (Northern Mindanao),104.351
,....Bukidnon,85.484
,....Camiguin,118.837
,....Lanao Del Norte,112.373
,....Misamis Occidental,106.631
,....Misamis Oriental,110.181
,..Southern Mindanao,.
,..Region XI (Davao Region),94.404
,....Davao Province,.
,....Davao Del Norte,129.574
,....Davao Del Sur,88.074
,....Davao City,.
,....Davao Oriental,79.254
,....Compostela Valley,60.542
,..Central Mindanao,.
,..Region XII (SOCCSKSARGEN),113.944
,....Cotabato (North Cotabato),105.561
,....Sarangani,93.427
,....South Cotabato,124.837
,....Sultan Kudarat,127.044
,..Region XIII (Caraga),115.368
,....Agusan Del Norte,118.740
,....Agusan Del Sur,109.184
,....Surigao Del Norte,116.186
,....Surigao Del Sur,121.773
,....Dinagat Islands,107.353
,..Autonomous Region in Muslim Mindanao (ARMM),139.058
,....Basilan,107.096
,....Lanao Del Sur,156.019
,....Maguindanao,140.333
,....Sulu,110.014
,....Tawi-Tawi,112.009
,,
". Category not applicable
.. Data not available
a/ - Less than 0.001
Data are in kilograms except for raw milk (fresh/pasteurized milk) and liquid milk which are in liters
Rice noodles, rice cakes, corn cakes, flour and flour products, wheat noodles, bihon, pasta, canton, fresh miki, instant noodles, bread and cakes, pandesal, powdered milk, and liquid milk are food items that have undergone some processing.
Other Fish Species include galunggong, tilapia, tamban, hasa-hasa, matambaka, sapsap, tuna, etc. Crustaceans include crabs, shrimps, prawns, and lobsters. Mollusks include squid, cuttlefish, shells, oyster, and clams.
For the 2008-2009 survey period, tilapia and roundscad were covered separately from the respective commodity group.
For the 2012 survey period, saba, tuna (all species), dalagang bukid, shrimps, and mussels were covered separately from the respective commodity group.
The conduct of the survey depends on the availability of funds.
",,
,,
Latest update:,,
20190301 09:00,,
,,
Source:,,
Philippine Statistics Authority (PSA),,
,,
Contact:,,
Agricultural Accounts Division,,
Philippine Statistics Authority (PSA),,
"Eton Cyberpod Centris 3, EDSA cor. Quezon Avenue, Barangay Pinyahan, Quezon City",,
Telephone Number: +6323761954,,
Fax Number: +6323761954,,
Email: aad(dot)staff(at)psa(dot)gov(dot)ph,,
,,
,,
Units:,,
"kilograms, as indicated",,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Internal reference code:,,
1E5FPCC1,,
